Timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,stabilizer.pitch,stabilizer.roll
182756,0,0,0,0,-1.2801817655563354,0.700497031211853
182766,0,0,0,0,-1.2785227298736572,0.7075245380401611
182776,0,0,0,0,-1.2774477005004883,0.7197524905204773
182786,0,0,0,0,-1.2738659381866455,0.738704264163971
182796,0,0,0,0,-1.2724401950836182,0.7493798732757568
182806,0,0,0,0,-1.2663620710372925,0.7684991955757141
182816,0,0,0,0,-1.2679741382598877,0.771308422088623
182826,0,0,0,0,-1.2303838729858398,0.7602354884147644
182836,0,0,0,0,-1.1813158988952637,0.7338972687721252
182846,0,0,0,0,-1.171217918395996,0.7454010844230652
182856,0,0,0,0,-1.1571611166000366,0.7541350722312927
182866,0,0,0,0,-1.0929009914398193,0.7331412434577942
182876,0,0,0,0,-1.0837559700012207,0.716495931148529
182886,0,0,0,0,-1.1189522743225098,0.7229726910591125
182896,0,0,0,0,-1.1601369380950928,0.7202116250991821
182906,0,0,0,0,-1.24135160446167,0.7117817997932434
182916,0,0,0,0,-1.2842259407043457,0.7053142786026001
182926,0,0,0,0,-1.3051118850708008,0.6845561265945435
182936,0,0,0,0,-1.3326610326766968,0.6019360423088074
182946,0,0,0,0,-1.3325717449188232,0.3094862699508667
182956,0,0,0,0,-1.3285197019577026,0.1167324036359787
182966,0,0,0,0,-1.314072608947754,-0.1885198950767517
182976,0,0,0,0,-1.2998780012130737,-0.42352989315986633
182986,0,0,0,0,-1.2740533351898193,-0.6778715252876282
182996,0,0,0,0,-1.2792726755142212,-0.7826599478721619
183006,0,0,0,0,-1.287307620048523,-0.8863846063613892
183016,0,0,0,0,-1.2835808992385864,-0.9456931948661804
183026,0,0,0,0,-1.25960373878479,-0.9716615676879883
183036,0,0,0,0,-1.2623491287231445,-0.9712785482406616
183046,0,0,0,0,-1.2902257442474365,-0.9668086767196655
183056,0,0,0,0,-1.3245419263839722,-0.967586100101471
183066,0,0,0,0,-1.342471718788147,-0.9843568801879883
183076,0,0,0,0,-1.3574151992797852,-1.0202494859695435
183086,0,0,0,0,-1.3889930248260498,-1.069103479385376
183096,0,0,0,0,-1.3865222930908203,-1.0575319528579712
183106,0,0,0,0,-1.4823583364486694,-0.9224418997764587
183116,0,0,0,0,-1.5864239931106567,-0.7700598835945129
183126,0,0,0,0,-1.7268693447113037,-0.5865461230278015
183136,0,0,0,0,-1.7712993621826172,-0.5342680215835571
183146,0,0,0,0,-1.8035900592803955,-0.5623577833175659
183156,0,0,0,0,-1.774741530418396,-0.6093766093254089
183166,0,0,0,0,-1.7775079011917114,-0.7355414032936096
183176,0,0,0,0,-1.8497453927993774,-0.7820836305618286
183186,0,0,0,0,-1.8735538721084595,-0.8660959601402283
183196,0,0,0,0,-1.7715867757797241,-0.9922654032707214
183206,0,0,0,0,-1.6582268476486206,-1.1057838201522827
183216,0,0,0,0,-1.6259303092956543,-1.0711876153945923
183226,0,0,0,0,-1.7103976011276245,-0.886247456073761
183236,0,0,0,0,-1.7150672674179077,-0.6154741048812866
183246,0,0,0,0,-1.5033646821975708,-0.40444737672805786
183256,0,0,0,0,-1.4911178350448608,-0.21896971762180328
183266,0,0,0,0,-1.5159238576889038,-0.07352876663208008
